"city","ID","Created Date","Updated Date","Owner","states","Specialization","Language"
"Karimganj, Assam","66b399f5-1d6b-4f5d-ac18-00501adec649",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Devbhoomi Dwarka, Gujarat","670c2daf-013d-4c6a-8a85-c582411e7df3",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"East Kameng, Arunachal Pradesh","671b9bed-b020-4efa-93f1-2c3d40fdccf4",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Thoothukudi, Tamil Nadu","6877e756-dfd0-4ce2-aa5b-986544ef9dc5",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Bijnor, Uttar Pradesh","69007f4c-db79-4803-bd9a-109f76d5e3c9",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Panna, Madhya Pradesh","690b2262-801c-4747-a32d-069156adde72",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mandi, Himachal Pradesh","6945e16c-c6b4-46d2-b5f0-b1c8f010b6bd",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kiphire, Nagaland","69a2ab59-3b7c-45d4-a9a5-c2c6242b74e0",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Botad, Gujarat","6a032106-9753-4bf6-b04f-fd687f79f3dd",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"West Sikkim, Sikkim","6a045a63-739c-4b2a-84cc-2cc3902778c5",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Changlang, Arunachal Pradesh","6a2d8a84-78ab-4d6e-8b99-b0ebe20a4884",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Arwal, Bihar","6a83a2a4-6094-4114-9ea7-1aecce6039f4",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Mathura, Uttar Pradesh","6aa4686e-735d-45ea-a8a7-40281b828782",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kolasib, Mizoram","6ab90fb1-2226-48fb-8785-ca796e24ca4d",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Udupi, Karnataka","6b2e93af-78a6-477b-90c0-930d5825762c",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Shamli, Uttar Pradesh","6b4ff607-9ae2-4f2e-b748-608e050b62af",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sangareddy, Telangana","6b56b70d-e120-41f7-ba3d-411da59c8bda",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kheda, Gujarat","6b9ca0a0-0350-4c89-81ab-85199b05dab6",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kozhikode, Kerala","6c115aba-7be2-4026-9ccb-aea71a434329",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sirohi, Rajasthan","6c41e84e-63ee-402b-bdc4-e8da888c20f3",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Uttarkashi, Uttarakhand","6c83ebd4-e3e6-4a5e-b4d4-c942a7bec89b",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Balrampur, Uttar Pradesh","6d36c8f9-6853-45ef-838b-3d138223a038",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Bhadradri Kothagudem, Telangana","6d9da90b-3722-4e2f-a267-d91b3d252ebc",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Cachar, Assam","6e4210cf-8dad-4793-9ab0-b83284b713be",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Bangalore, Karnataka","6e928fef-4233-486e-8773-7b7c008973da",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Salem, Tamil Nadu","6e9b5dfa-b38a-4999-8225-01999a9bcdae",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Shahdol, Madhya Pradesh","6ec9d16b-61a8-473d-87ec-46c9587b1d6e",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Shaheed Bhagat Singh Nagar, Punjab","702c5c33-020d-49cc-87e2-760ae62ed9fa",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Bankura, West Bengal","712e8b21-5cc9-436f-ad8c-cd85c467c5a4",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Jayashankar Bhupalpally, Telangana","7176636f-91c3-4093-8e22-613562726998",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Pudukkottai, Tamil Nadu","71a153aa-3fde-4481-95ca-4114ca1850b1",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Tapi, Gujarat","71b6d03e-63b3-45ae-8889-867496c88745",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Leh, Ladakh(UT)","72209852-4a68-4f46-9085-1ba733cf2681",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Buxar, Bihar","728138f4-96d0-48a3-8090-ad87e0b88350",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"East Sikkim, Sikkim","72da1396-cc9b-48dc-8d99-9d7e6c9ade91",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sirsa, Haryana","7400af34-1652-48f5-990e-66a49dd35b63",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Ashoknagar, Madhya Pradesh","74058d6d-b1ed-4b6c-904d-3210d1d2c766",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Puducherry, Puducherry (UT)","74178ef6-7cf5-40ed-9c26-4418b2eba462",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"East Garo Hills, Meghalaya","74253ec5-3575-40e5-a065-139e10ca8c3e",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Subarnapur, Odisha","743d5eef-dbe1-4565-bb17-308003a1b311",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Bilaspur, Chhattisgarh","7446650a-3a79-4b0a-b6ad-25866c64cc01",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Haridwar, Uttarakhand","749104ed-03c9-422d-a2b9-a90757abde40",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Biswanath, Assam","74c93089-c357-4f82-a719-6425a97c9704",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Lepa Rada, Arunachal Pradesh","750e0235-f8cb-472b-b275-1fcf4a406f43",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Ranipet, Tamil Nadu","75106a59-2459-4a10-b3a3-0d5aae5dfa29",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sidhi, Madhya Pradesh","7562d856-c385-498b-ac60-90e92bd552d6",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Chittoor, Andhra Pradesh","76047409-4bda-495e-97c4-50aac5a96727",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Lalitpur, Uttar Pradesh","769313e4-c237-4992-9ad1-ed7824881560",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Gajapati, Odisha","76d0b688-f555-4546-a3a4-8866108954c2",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
