"ID","Created Date","Updated Date","Owner","courts","Publish Date","Unpublish Date","Status"
"01d4c7db-e7f3-42b7-b6aa-e650c91a93dd",2023-07-19T08:58:54Z,2023-07-19T08:58:54Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Combined Courts, Tiruchirappalli - Tamil Nadu - India",2023-07-19T08:58:55Z,,"PUBLISHED"
"01d60f98-098c-4ce2-a298-5379ba58c2a9",2023-07-19T08:58:53Z,2023-07-19T08:58:53Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","CIVIL COURT, THASARA, KHEDA - Gujarat - India",2023-07-19T08:58:53Z,,"PUBLISHED"
"01d9a5e9-6be8-41a8-97e4-ea85ca09b6b7",2023-07-19T08:59:00Z,2023-07-19T08:59:00Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","District Court, Champhai - Mizoram - India",2023-07-19T08:59:00Z,,"PUBLISHED"
"01dcc4c5-cf99-449b-93ce-43af06e58a2c",2023-07-19T08:59:17Z,2023-07-19T08:59:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Serampore Court Complex - West Bengal - India",2023-07-19T08:59:17Z,,"PUBLISHED"
"01e3d1ca-5b94-4fa8-a159-7bc23ff64fa3",2023-07-19T08:58:52Z,2023-07-19T08:58:52Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court Sohagpur Civil Court Sohagpur, District Hoshangabad - Madhya Pradesh - India",2023-07-19T08:58:52Z,,"PUBLISHED"
"01fecd29-d1ef-4f13-96ee-8ea2887a3012",2023-07-19T08:59:06Z,2023-07-19T08:59:06Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Judicial Complex, Jalalabad - Punjab - India",2023-07-19T08:59:06Z,,"PUBLISHED"
"02173f53-7b9a-4c5f-9773-2268de6674e5",2023-07-19T08:59:09Z,2023-07-19T08:59:09Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","KurungKumey, District Court - Arunachal Pradesh - India",2023-07-19T08:59:09Z,,"PUBLISHED"
"02183337-3cad-44e8-a132-3433e0e0a54f",2023-07-19T08:59:04Z,2023-07-19T08:59:04Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","High Court of Andhra Pradesh - Andhra Pradesh - India",2023-07-19T08:59:04Z,,"PUBLISHED"
"0221bf3e-cc38-445f-b838-6d40dfa1b667",2023-07-19T08:58:55Z,2023-07-19T08:58:55Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Combined Courts, Thiruthuraipoondi - Tamil Nadu - India",2023-07-19T08:58:55Z,,"PUBLISHED"
"022b85c7-8a7d-4c1c-93ff-9af45041d998",2023-07-19T08:59:18Z,2023-07-19T08:59:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Shirur K, Civil and Criminal Court - Maharashtra - India",2023-07-19T08:59:17Z,,"PUBLISHED"
"023a5f5e-a3fd-4125-89b9-8ee02ad3e90c",2023-07-19T08:58:53Z,2023-07-19T08:58:53Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court, Khaniadhana Civil Court, Khaniadhana district, Shivpuri - Madhya Pradesh - India",2023-07-19T08:58:53Z,,"PUBLISHED"
"023ab206-8023-4c2c-af47-9f87406a6abc",2023-07-19T08:58:50Z,2023-07-19T08:58:50Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court Basna - Chhattisgarh - India",2023-07-19T08:58:50Z,,"PUBLISHED"
"024205cb-512a-4ce4-b996-b3d2df0ed9cc",2023-07-19T08:59:15Z,2023-07-19T08:59:15Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Piro Court - Bihar - India",2023-07-19T08:59:15Z,,"PUBLISHED"
"0250b4ce-80b8-4eba-b4fe-515f959f6ecc",2023-07-19T08:59:19Z,2023-07-19T08:59:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Urmi, Civil and Criminal Court - Maharashtra - India",2023-07-19T08:59:19Z,,"PUBLISHED"
"02664716-e712-43b6-ab61-8eefb39cdded",2023-07-19T08:59:00Z,2023-07-19T08:59:00Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","DISTRICT COURT KALPETTA - Kerala - India",2023-07-19T08:59:00Z,,"PUBLISHED"
"0269e0bb-13fd-4fd0-9700-e8659f9bf526",2023-07-19T08:58:51Z,2023-07-19T08:58:51Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Civil Court Janakpuri - Chhattisgarh - India",2023-07-19T08:58:51Z,,"PUBLISHED"
"026cae0f-d32c-4b14-9cb5-e7e68cdb8694",2023-07-19T08:59:05Z,2023-07-19T08:59:05Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Hisar, District Consumer Disputes Redressal Commission - Haryana - India",2023-07-19T08:59:05Z,,"PUBLISHED"
"0271886f-8829-4e8f-8bab-867e9939991b",2023-07-19T08:59:08Z,2023-07-19T08:59:08Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Khandala, Civil and Criminal Court - Maharashtra - India",2023-07-19T08:59:08Z,,"PUBLISHED"
"027647ac-79cc-4a17-b815-4b01c93620ee",2023-07-19T08:59:05Z,2023-07-19T08:59:05Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Islampur Court Complex - West Bengal - India",2023-07-19T08:59:05Z,,"PUBLISHED"
"029c73ef-d4ff-48c1-8604-fceafc2b0a5e",2023-07-19T08:58:58Z,2023-07-19T08:58:58Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","DEDIPADA, NARMADA - Gujarat - India",2023-07-19T08:58:58Z,,"PUBLISHED"
"02b7ffb9-5e1a-4747-b13e-bc944137d5b6",2023-07-19T08:59:49Z,2023-07-19T08:59:49Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Vaijapur, Dist and Session Court - Maharashtra - India",2023-07-19T08:59:49Z,,"PUBLISHED"
